"Year","Month","sex","race","age_x","obitos"
2010,11,"Female","White",45,6
2010,11,"Female","White",50,8
2010,11,"Female","White",55,10
2010,11,"Female","White",60,15
2010,11,"Female","White",65,17
2010,11,"Female","White",70,15
2010,11,"Female","White",75,18
2010,11,"Female","White",80,66
2010,11,"Male","White",0,17
2010,11,"Male","White",5,4
2010,11,"Male","White",10,1
2010,11,"Male","White",15,5
2010,11,"Male","White",20,6
2010,11,"Male","White",25,7
2010,11,"Male","White",30,6
2010,11,"Male","White",35,3
2010,11,"Male","White",40,9
2010,11,"Male","White",45,7
2010,11,"Male","White",50,11
2010,11,"Male","White",55,12
2010,11,"Male","White",60,14
2010,11,"Male","White",65,14
2010,11,"Male","White",70,26
2010,11,"Male","White",75,21
2010,11,"Male","White",80,61
2010,12,"Female","Asian",60,1
2010,12,"Female","Asian",70,1
2010,12,"Female","Asian",80,1
2010,12,"Male","Asian",20,1
2010,12,"Male","Asian",40,1
2010,12,"Male","Asian",50,1
2010,12,"Male","Asian",65,2
2010,12,"Male","Asian",75,1
2010,12,"Male","Asian",80,4
2010,12,"Female","Black",0,2
2010,12,"Female","Black",15,2
2010,12,"Female","Black",20,2
2010,12,"Female","Black",25,1
2010,12,"Female","Black",30,2
2010,12,"Female","Black",35,2
2010,12,"Female","Black",40,4
2010,12,"Female","Black",45,3
2010,12,"Female","Black",50,6
2010,12,"Female","Black",55,2
2010,12,"Female","Black",60,6
2010,12,"Female","Black",65,14
2010,12,"Female","Black",70,5
2010,12,"Female","Black",75,10
2010,12,"Female","Black",80,26
2010,12,"Male","Black",0,5
2010,12,"Male","Black",5,1
2010,12,"Male","Black",15,1
2010,12,"Male","Black",20,9
2010,12,"Male","Black",25,11
2010,12,"Male","Black",30,8
2010,12,"Male","Black",35,7
2010,12,"Male","Black",40,13
2010,12,"Male","Black",45,10
2010,12,"Male","Black",50,9
2010,12,"Male","Black",55,9
2010,12,"Male","Black",60,5
2010,12,"Male","Black",65,11
2010,12,"Male","Black",70,17
2010,12,"Male","Black",75,18
2010,12,"Male","Black",80,29
2010,12,"Female","Brown",0,41
2010,12,"Female","Brown",5,2
2010,12,"Female","Brown",10,5
2010,12,"Female","Brown",15,12
2010,12,"Female","Brown",20,5
2010,12,"Female","Brown",25,18
2010,12,"Female","Brown",30,16
2010,12,"Female","Brown",35,10
2010,12,"Female","Brown",40,27
2010,12,"Female","Brown",45,22
2010,12,"Female","Brown",50,24
2010,12,"Female","Brown",55,53
2010,12,"Female","Brown",60,37
2010,12,"Female","Brown",65,42
2010,12,"Female","Brown",70,71
2010,12,"Female","Brown",75,40
2010,12,"Female","Brown",80,103
2010,12,"Male","Brown",0,52
2010,12,"Male","Brown",5,7
2010,12,"Male","Brown",10,16
2010,12,"Male","Brown",15,30
2010,12,"Male","Brown",20,51
2010,12,"Male","Brown",25,53
2010,12,"Male","Brown",30,39
2010,12,"Male","Brown",35,37
2010,12,"Male","Brown",40,51
2010,12,"Male","Brown",45,51
2010,12,"Male","Brown",50,36
2010,12,"Male","Brown",55,52
2010,12,"Male","Brown",60,78
2010,12,"Male","Brown",65,71
2010,12,"Male","Brown",70,84
2010,12,"Male","Brown",75,77
2010,12,"Male","Brown",80,139
2010,12,"Female","Indigenous",0,1
2010,12,"Female","Indigenous",20,1
2010,12,"Female","Indigenous",65,2
2010,12,"Female","Indigenous",75,1
2010,12,"Male","Indigenous",0,2
2010,12,"Male","Indigenous",75,1
2010,12,"Female","White",0,12
2010,12,"Female","White",5,4
2010,12,"Female","White",10,1
2010,12,"Female","White",15,2
2010,12,"Female","White",20,2
2010,12,"Female","White",25,7
2010,12,"Female","White",30,3
2010,12,"Female","White",35,4
2010,12,"Female","White",40,5
2010,12,"Female","White",45,12
2010,12,"Female","White",50,11
2010,12,"Female","White",55,6
2010,12,"Female","White",60,8
2010,12,"Female","White",65,10
2010,12,"Female","White",70,17
2010,12,"Female","White",75,23
2010,12,"Female","White",80,71
2010,12,"Male","White",0,13
2010,12,"Male","White",5,3
2010,12,"Male","White",15,5
2010,12,"Male","White",20,11
2010,12,"Male","White",25,12
2010,12,"Male","White",30,13
2010,12,"Male","White",35,9
2010,12,"Male","White",40,6
2010,12,"Male","White",45,6
2010,12,"Male","White",50,10
2010,12,"Male","White",55,15
2010,12,"Male","White",60,23
2010,12,"Male","White",65,18
2010,12,"Male","White",70,24
2010,12,"Male","White",75,26
2010,12,"Male","White",80,59
2011,1,"Female","Asian",40,1
2011,1,"Female","Asian",60,2
2011,1,"Female","Asian",70,1
2011,1,"Female","Asian",75,2
2011,1,"Male","Asian",0,1
2011,1,"Male","Asian",25,1
2011,1,"Male","Asian",65,1
2011,1,"Male","Asian",70,1
2011,1,"Male","Asian",80,1
2011,1,"Female","Black",0,4
